item_id,timestamp,target_value,Temperature,Fuel_Price,CPI,Unemployment,,,
8,2010-02-19,963960.37,39.1,2.514,214.6664878,6.299,,,
8,2010-02-26,847592.11,37.91,2.561,214.6940735,6.299,,,
9,2010-02-05,549505.55,38.01,2.572,214.6554591,6.415,,,
9,2010-02-12,552677.48,37.08,2.548,214.8056534,6.415,,,
9,2010-02-19,511327.9,43.06,2.514,214.8506185,6.415,,,
9,2010-02-26,473773.27,43.83,2.561,214.8780453,6.415,,,
10,2010-02-05,2193048.75,54.34,2.962,126.4420645,9.765,,,
10,2010-02-12,2176028.52,49.96,2.828,126.4962581,9.765,,,
10,2010-02-19,2113432.58,58.22,2.915,126.5262857,9.765,,,
10,2010-02-26,2006774.96,52.77,2.825,126.5522857,9.765,,,
11,2010-02-05,1528008.64,46.04,2.572,214.4248812,7.368,,,
11,2010-02-12,1574684.08,48.01,2.548,214.5747916,7.368,,,
11,2010-02-19,1503298.7,48.3,2.514,214.6198868,7.368,,,
11,2010-02-26,1336404.65,52.79,2.561,214.6475127,7.368,,,
12,2010-02-05,1100046.37,49.47,2.962,126.4420645,13.975,,,
12,2010-02-12,1117863.33,47.87,2.946,126.4962581,13.975,,,
12,2010-02-19,1095421.65,54.83,2.915,126.5262857,13.975,,,
12,2010-02-26,1048617.17,50.23,2.825,126.5522857,13.975,,,
13,2010-02-05,1967220.53,31.53,2.666,126.4420645,8.316,,,
13,2010-02-12,2030933.46,33.16,2.671,126.4962581,8.316,,,
13,2010-02-19,1970274.64,35.7,2.654,126.5262857,8.316,,,
13,2010-02-26,1817850.32,29.98,2.667,126.5522857,8.316,,,
14,2010-02-05,2623469.95,27.31,2.784,181.8711898,8.992,,,
14,2010-02-12,1704218.84,27.73,2.773,181.982317,8.992,,,
14,2010-02-19,2204556.7,31.27,2.745,182.0347816,8.992,,,
14,2010-02-26,2095591.63,34.89,2.754,182.0774691,8.992,,,
15,2010-02-05,652122.44,19.83,2.954,131.5279032,8.35,,,
15,2010-02-12,682447.1,22,2.94,131.5866129,8.35,,,
15,2010-02-19,660838.75,27.54,2.909,131.637,8.35,,,
15,2010-02-26,564883.2,29.87,2.91,131.686,8.35,,,
16,2010-02-05,477409.3,19.79,2.58,189.3816974,7.039,,,
16,2010-02-12,472044.28,20.87,2.572,189.4642725,7.039,,,
16,2010-02-19,469868.7,21.13,2.55,189.5340998,7.039,,,
16,2010-02-26,443242.17,18.12,2.586,189.6018023,7.039,,,
17,2010-02-05,789036.02,23.11,2.666,126.4420645,6.548,,,
17,2010-02-12,841951.91,18.36,2.671,126.4962581,6.548,,,
17,2010-02-19,800714,25.06,2.654,126.5262857,6.548,,,
17,2010-02-26,749549.55,15.64,2.667,126.5522857,6.548,,,
18,2010-02-05,1205307.5,21.33,2.788,131.5279032,9.202,,,
18,2010-02-12,1187880.7,26.41,2.771,131.5866129,9.202,,,
18,2010-02-19,1150663.42,30.91,2.747,131.637,9.202,,,
18,2010-02-26,1068157.45,35.42,2.753,131.686,9.202,,,
19,2010-02-05,1507637.17,20.96,2.954,131.5279032,8.35,,,
19,2010-02-12,1536549.95,23.22,2.94,131.5866129,8.35,,,
19,2010-02-19,1515976.11,28.57,2.909,131.637,8.35,,,
19,2010-02-26,1373270.06,30.33,2.91,131.686,8.35,,,
20,2010-02-05,2401395.47,25.92,2.784,204.2471935,8.187,,,
20,2010-02-12,2109107.9,22.12,2.773,204.3857472,8.187,,,
20,2010-02-19,2161549.76,25.43,2.745,204.4321004,8.187,,,
20,2010-02-26,1898193.95,32.32,2.754,204.4630869,8.187,,,
21,2010-02-05,798593.88,39.05,2.572,210.7526053,8.324,,,
21,2010-02-12,809321.44,37.77,2.548,210.8979935,8.324,,,
21,2010-02-19,867283.25,39.75,2.514,210.9451605,8.324,,,
21,2010-02-26,749597.24,45.31,2.561,210.9759573,8.324,,,
22,2010-02-05,1033017.37,24.36,2.788,135.3524608,8.283,,,
22,2010-02-12,1022571.25,28.14,2.771,135.4113076,8.283,,,
22,2010-02-19,988467.61,31.96,2.747,135.4657781,8.283,,,
22,2010-02-26,899761.48,35.98,2.753,135.5195191,8.283,,,
23,2010-02-05,1364721.58,15.25,2.788,131.5279032,5.892,,,
23,2010-02-12,1380892.08,18.75,2.771,131.5866129,5.892,,,
23,2010-02-19,1319588.04,26.7,2.747,131.637,5.892,,,
23,2010-02-26,1198709.65,32.68,2.753,131.686,5.892,,,
24,2010-02-05,1388725.63,22.43,2.954,131.5279032,8.326,,,
24,2010-02-12,1414107.1,25.94,2.94,131.5866129,8.326,,,
24,2010-02-19,1385362.49,31.05,2.909,131.637,8.326,,,
24,2010-02-26,1158722.74,33.98,2.91,131.686,8.326,,,
25,2010-02-05,677231.63,21.1,2.784,204.2471935,8.187,,,
25,2010-02-12,583364.02,19.64,2.773,204.3857472,8.187,,,
25,2010-02-19,676260.67,24.16,2.745,204.4321004,8.187,,,
25,2010-02-26,628516.57,29.16,2.754,204.4630869,8.187,,,
26,2010-02-05,1034119.21,9.55,2.788,131.5279032,8.488,,,
26,2010-02-12,1015684.09,18.14,2.771,131.5866129,8.488,,,
26,2010-02-19,999348.55,22.62,2.747,131.637,8.488,,,
26,2010-02-26,855385.01,27.32,2.753,131.686,8.488,,,
27,2010-02-05,1874289.79,27.19,2.954,135.3524608,8.237,,,
27,2010-02-12,1745362.72,29.81,2.94,135.4113076,8.237,,,
27,2010-02-19,1945070.33,32.44,2.909,135.4657781,8.237,,,
27,2010-02-26,1390934.27,36,2.91,135.5195191,8.237,,,
28,2010-02-05,1672352.29,49.47,2.962,126.4420645,13.975,,,
28,2010-02-12,1558968.49,47.87,2.946,126.4962581,13.975,,,
28,2010-02-19,1491300.42,54.83,2.915,126.5262857,13.975,,,
28,2010-02-26,1542173.33,50.23,2.825,126.5522857,13.975,,,
29,2010-02-05,538634.46,24.36,2.788,131.5279032,10.064,,,
29,2010-02-12,529672.95,28.14,2.771,131.5866129,10.064,,,
29,2010-02-19,542399.07,31.96,2.747,131.637,10.064,,,
29,2010-02-26,488417.61,35.98,2.753,131.686,10.064,,,
30,2010-02-05,465108.52,39.05,2.572,210.7526053,8.324,,,
30,2010-02-12,497374.57,37.77,2.548,210.8979935,8.324,,,
30,2010-02-19,463513.26,39.75,2.514,210.9451605,8.324,,,
30,2010-02-26,472330.71,45.31,2.561,210.9759573,8.324,,,
31,2010-02-05,1469252.05,39.05,2.572,210.7526053,8.324,,,
31,2010-02-12,1543947.23,37.77,2.548,210.8979935,8.324,,,
31,2010-02-19,1473386.75,39.75,2.514,210.9451605,8.324,,,
31,2010-02-26,1344354.41,45.31,2.561,210.9759573,8.324,,,
32,2010-02-05,1087616.19,34.43,2.58,189.3816974,9.014,,,
32,2010-02-12,1123566.12,28.09,2.572,189.4642725,9.014,,,
32,2010-02-19,1082559.06,29.16,2.55,189.5340998,9.014,,,
32,2010-02-26,1053247.1,26.64,2.586,189.6018023,9.014,,,
33,2010-02-05,274593.43,58.4,2.962,126.4420645,10.115,,,
33,2010-02-12,294882.83,55.47,2.828,126.4962581,10.115,,,
33,2010-02-19,296850.83,62.16,2.915,126.5262857,10.115,,,
33,2010-02-26,284052.77,56.5,2.825,126.5522857,10.115,,,
34,2010-02-05,956228.96,35.44,2.598,126.4420645,9.521,,,
34,2010-02-12,994610.99,36.13,2.573,126.4962581,9.521,,,
34,2010-02-19,983963.07,38.36,2.54,126.5262857,9.521,,,
34,2010-02-26,905756.13,37.28,2.59,126.5522857,9.521,,,
35,2010-02-05,1230613.5,27.19,2.784,135.3524608,9.262,,,
35,2010-02-12,1168815.31,29.81,2.773,135.4113076,9.262,,,
35,2010-02-19,1270658.64,32.44,2.745,135.4657781,9.262,,,
35,2010-02-26,1020651.74,36,2.754,135.5195191,9.262,,,
36,2010-02-05,467546.74,45.97,2.545,209.8529663,8.554,,,
36,2010-02-12,469563.7,46.11,2.539,209.9970208,8.554,,,
36,2010-02-19,470281.03,45.66,2.472,210.0451024,8.554,,,
36,2010-02-26,447519.44,50.87,2.52,210.0771885,8.554,,,
37,2010-02-05,536006.73,45.97,2.572,209.8529663,8.554,,,
37,2010-02-12,529852.7,46.11,2.548,209.9970208,8.554,,,
37,2010-02-19,510382.5,45.66,2.514,210.0451024,8.554,,,
37,2010-02-26,513615.82,50.87,2.561,210.0771885,8.554,,,
38,2010-02-05,358496.14,49.47,2.962,126.4420645,13.975,,,
38,2010-02-12,342214.9,47.87,2.946,126.4962581,13.975,,,
38,2010-02-19,327237.92,54.83,2.915,126.5262857,13.975,,,
38,2010-02-26,334222.73,50.23,2.825,126.5522857,13.975,,,
39,2010-02-05,1230596.8,44.3,2.572,209.8529663,8.554,,,
39,2010-02-12,1266229.07,44.58,2.548,209.9970208,8.554,,,
39,2010-02-19,1230591.97,43.96,2.514,210.0451024,8.554,,,
39,2010-02-26,1168582.02,49.79,2.561,210.0771885,8.554,,,
40,2010-02-05,1001943.8,14.48,2.788,131.5279032,5.892,,,
40,2010-02-12,955338.29,20.84,2.771,131.5866129,5.892,,,
40,2010-02-19,916289.2,27.84,2.747,131.637,5.892,,,
40,2010-02-26,863917.41,33.32,2.753,131.686,5.892,,,
41,2010-02-05,1086533.18,30.27,2.58,189.3816974,7.541,,,
41,2010-02-12,1075656.34,23.04,2.572,189.4642725,7.541,,,
41,2010-02-19,1052034.74,24.13,2.55,189.5340998,7.541,,,
41,2010-02-26,991941.73,21.84,2.586,189.6018023,7.541,,,
42,2010-02-05,543384.01,54.34,2.962,126.4420645,9.765,,,
42,2010-02-12,575709.96,49.96,2.828,126.4962581,9.765,,,
42,2010-02-19,508794.87,58.22,2.915,126.5262857,9.765,,,
42,2010-02-26,491510.58,52.77,2.825,126.5522857,9.765,,,
43,2010-02-05,647029.28,47.31,2.572,203.0642742,9.521,,,
43,2010-02-12,682918.99,47.99,2.548,203.2010968,9.521,,,
43,2010-02-19,658997.55,48.77,2.514,203.2479796,9.521,,,
43,2010-02-26,618702.79,48.77,2.561,203.2798724,9.521,,,
44,2010-02-05,281090.95,31.53,2.666,126.4420645,8.119,,,
44,2010-02-12,286857.13,33.16,2.671,126.4962581,8.119,,,
44,2010-02-19,267956.3,35.7,2.654,126.5262857,8.119,,,
44,2010-02-26,273079.07,29.98,2.667,126.5522857,8.119,,,
45,2010-02-05,890689.51,27.31,2.784,181.8711898,8.992,,,
45,2010-02-12,656988.64,27.73,2.773,181.982317,8.992,,,
45,2010-02-19,841264.04,31.27,2.745,182.0347816,8.992,,,
45,2010-02-26,741891.65,34.89,2.754,182.0774691,8.992,,,
